FIPSCode,LocationType,Location,AgeGroup,Gender,TimeFrame,DataFormat,Data
6001,County,Alameda,Total for Ages 0_17,Male,2005,Number,181306
6003,County,Alpine,Total for Ages 0_17,Male,2005,Number,116
6009,County,Calaveras,Total for Ages 0_17,Male,2005,Number,4671
6011,County,Colusa,Total for Ages 0_17,Male,2005,Number,3171
6013,County,Contra Costa,Total for Ages 0_17,Male,2005,Number,131479
6017,County,El Dorado,Total for Ages 0_17,Male,2005,Number,21379
6019,County,Fresno,Total for Ages 0_17,Male,2005,Number,138988
6021,County,Glenn,Total for Ages 0_17,Male,2005,Number,4125
6027,County,Inyo,Total for Ages 0_17,Male,2005,Number,2022
6029,County,Kern,Total for Ages 0_17,Male,2005,Number,122761
6031,County,Kings,Total for Ages 0_17,Male,2005,Number,21309
6037,County,Los Angeles,Total for Ages 0_17,Male,2005,Number,1348937
6039,County,Madera,Total for Ages 0_17,Male,2005,Number,21231
6041,County,Marin,Total for Ages 0_17,Male,2005,Number,25412
6045,County,Mendocino,Total for Ages 0_17,Male,2005,Number,10358
6047,County,Merced,Total for Ages 0_17,Male,2005,Number,40200
6049,County,Modoc,Total for Ages 0_17,Male,2005,Number,1072
6055,County,Napa,Total for Ages 0_17,Male,2005,Number,16198
6057,County,Nevada,Total for Ages 0_17,Male,2005,Number,10508
6059,County,Orange,Total for Ages 0_17,Male,2005,Number,400740
6003,County,Alpine,Total for Ages 0_17,Total,2005,Number,238
6005,County,Amador,Total for Ages 0_17,Total,2005,Number,7347
6065,County,Riverside,Total for Ages 0_17,Male,2005,Number,295423
6067,County,Sacramento,Total for Ages 0_17,Male,2005,Number,185674
6073,County,San Diego,Total for Ages 0_17,Male,2005,Number,380520
6075,County,San Francisco,Total for Ages 0_17,Male,2005,Number,57271
6077,County,San Joaquin,Total for Ages 0_17,Male,2005,Number,101536
6083,County,Santa Barbara,Total for Ages 0_17,Male,2005,Number,51839
6085,County,Santa Clara,Total for Ages 0_17,Male,2005,Number,217344
6087,County,Santa Cruz,Total for Ages 0_17,Male,2005,Number,29174
6091,County,Sierra,Total for Ages 0_17,Male,2005,Number,330
6093,County,Siskiyou,Total for Ages 0_17,Male,2005,Number,4888
6095,County,Solano,Total for Ages 0_17,Male,2005,Number,55314
6101,County,Sutter,Total for Ages 0_17,Male,2005,Number,12830
6103,County,Tehama,Total for Ages 0_17,Male,2005,Number,7885
6105,County,Trinity,Total for Ages 0_17,Male,2005,Number,1342
6111,County,Ventura,Total for Ages 0_17,Male,2005,Number,111552
6113,County,Yolo,Total for Ages 0_17,Male,2005,Number,23292
6115,County,Yuba,Total for Ages 0_17,Male,2005,Number,10421
6005,County,Amador,Total for Ages 0_17,Male,2005,Number,3952
6007,County,Butte,Total for Ages 0_17,Total,2005,Number,49075
6013,County,Contra Costa,Total for Ages 0_17,Total,2005,Number,256339
6015,County,Del Norte,Total for Ages 0_17,Total,2005,Number,6386
6017,County,El Dorado,Total for Ages 0_17,Total,2005,Number,41480
6021,County,Glenn,Total for Ages 0_17,Total,2005,Number,8041
6023,County,Humboldt,Total for Ages 0_17,Total,2005,Number,28236
6025,County,Imperial,Total for Ages 0_17,Total,2005,Number,48127
6031,County,Kings,Total for Ages 0_17,Total,2005,Number,41053
6033,County,Lake,Total for Ages 0_17,Total,2005,Number,13932
6035,County,Lassen,Total for Ages 0_17,Total,2005,Number,6891
6041,County,Marin,Total for Ages 0_17,Total,2005,Number,49288
6043,County,Mariposa,Total for Ages 0_17,Total,2005,Number,3398
6045,County,Mendocino,Total for Ages 0_17,Total,2005,Number,20141
