SATV,SATM,CGPA,MGPA,Psych1,Psych10,SAT,SEX
480,490,2.17,2.19,1.66,2.33,970,Female
480,480,3.47,3.57,3.33,3.33,960,Female
500,460,2.85,3.28,2,3,960,Female
500,450,2.88,3.3,NA,3,950,Female
440,510,2.82,2.88,2.66,2,950,Female
410,540,2.34,2.57,2.33,3,950,Male
420,530,2.75,2.44,2,3,950,Male
440,500,2.9,2.96,2.66,3,940,Male
490,450,2.33,1.97,1,2.66,940,Male
480,450,2.62,2.44,2.33,1.66,930,Male
460,470,1.88,1.61,1.66,0,930,Female
430,490,2.94,2.75,3,2.66,920,Male
390,520,3.07,3.61,2,2.33,910,Male
450,440,2.52,2.05,1.66,2.33,890,Female
420,440,2.2,2.36,1.66,2,860,Female
400,460,1.96,1.79,NA,2,860,Male
410,450,2.19,1.7,2.33,1,860,Male
390,450,2.97,3,2.66,2.33,840,Male
400,440,2.48,2.7,1,1,840,Male
470,350,3.14,3.21,3.66,2.33,820,Female
410,380,2.27,2.33,NA,2.66,790,Female
